P14625	410
Q93009	408
Q16625	408
Q8TB24	408
Q9Y2I6	407
Q12888	405
Q12906	404
O95831	404
P06733	403
P04908	402
Q9BUN8	401
P61978	400
P12931	399
Q9NRD5	398
P78527	398
P40337	397
P36888	397
O95159	397
Q9BYV2	396
Q8TB96	395
Q6A162	394
Q969Q1	393
Q9NPJ6	393
P26368	392
P54253	392
P62877	389
Q04837	388
P04844	387
P38646	387
Q92667	387
P16403	386
P13612	386
Q14318	386
P16104	385
P07437	385
P51572	385
O43493	384
Q13627	383
Q86X19	383
Q9UNE7	382
O00567	382
Q99442	379
P35244	377
P46934	376
O00560	375
Q86UE4	375
P49368	375
Q12846	373
P84022	373
Q9H2F3	373
Q9BYV6	373
P06239	372
Q9Y282	371
P46379	371
P06576	371
Q9Y297	368
P62899	368
Q04864	367
P35226	367
Q9BRS2	367
O15446	364
O43765	364
P40926	362
Q8NBF2	362
P27635	361
P43307	361
P52272	358
O75694	356
P21796	355
Q9H000	355
P60369	355
P24928	354
P07550	353
P53350	352
Q9Y3S2	351
P00441	351
Q6ZMZ3	350
P54578	350
O43752	349
P54252	349
P78371	348
Q99623	348
Q16665	348
Q16695	347
P05161	347
O75390	347
Q16778	347
Q02878	346
P11940	346
P32121	345
P49639	345
Q04206	345
Q9UKB1	344
Q9C0B0	343
Q9NS91	343
Q9H3D4	343
O95714	342
P38919	340
P19320	340
P43243	340
Q12800	340
O75031	340
P09622	339
O43889	339
P56524	338
Q9NRI5	338
P25788	337
P46940	337
Q5JX71	337
Q05086	336
Q00610	336
P62847	336
P21333	335
Q8NBQ5	335
Q9Y4K3	334
Q9H3Z4	333
Q14203	333
Q16531	332
Q12905	332
P62837	332
Q08211	331
Q9H1C4	331
Q12986	331
P62241	330
P61981	329
Q99832	329
Q9NUH8	329
Q5JR59	328
P49257	328
P23396	327
Q8NC51	327
P05787	325
P15884	325
Q93062	322
Q96CS3	322
Q12849	322
Q9H8H3	320
P25786	320
P63208	320
P67870	319
Q8IUH5	318
P07737	318
O75955	318
Q13813	318
P17987	317
Q12772	317
Q9HCE7	317
P15880	317
P38936	315
P27986	315
P54274	314
Q13838	314
P13667	314
O95696	314
Q8TD16	314
Q10713	313
P51149	313
Q9Y230	312
Q9UHB6	312
Q96CW1	312
O95071	310
P56545	310
P13073	310
P20338	309
Q9UBN7	308
Q86UK7	308
O75386	307
Q9Y4E8	307
P49450	307
O75489	306
P04406	306
Q504Q3	305
P40939	305
Q8N4V1	305
Q9NX40	304
P22626	304
P60409	304
P62140	303
P36957	303
P40227	303
Q14676	303
Q9H9B4	303
P63000	302
Q8N4C6	302
Q15077	302
Q7Z2W4	302
Q9P2W7	302
Q13526	302
Q13148	301
P40763	301
Q6NUS6	301
P02768	300
Q9UKV8	300
O76011	300
P61247	299
Q9NYP7	299
Q8TDT2	298
Q15006	298
Q13085	298
Q9H7H0	297
P20700	297
Q96GX1	297
O75665	297
P18124	297
Q02539	297
Q8TAD8	296
P62263	295
Q13077	295
Q14197	295
Q99714	295
P25705	294
P29590	293
Q96T52	293
O00165	293
P67775	293
Q96SB4	293
P07910	293
Q9UQ35	292
Q7L5N1	292
P09429	292
P50914	292
P68366	291
Q8N766	291
P13010	291
P12004	290
Q99608	290
P22681	290
O14983	290
Q15154	290
P17844	290
Q07020	289
Q9H845	289
Q6K0P9	289
Q9Y265	289
Q96A22	289
Q9UQE7	289
Q96EP0	288
O15155	287
Q9NWT6	287
P46777	287
Q96C86	287
Q14142	287
O15118	286
Q9NYB9	285
P30042	284
Q99728	283
P30101	283
P49407	283
P60866	283
P11912	283
Q9UI95	282
O95292	282
Q96B97	282
P45880	282
P13639	282
P78310	281
Q9NRC1	281
P46108	281
P33992	280
P29353	280
P60411	280
P14618	280
Q0VD86	280
O60884	279
P28482	278
Q9P2P5	278
P50991	278
P11387	277
Q9UBB9	277
P21860	277
P63244	277
Q9Y6C9	277
Q9BY14	277
Q09028	277
P16401	276
Q9BUQ8	276
Q8WWY3	276
Q12931	275
Q9BYG3	275
P31689	274
Q01860	274
P62701	273
P62424	273
P0CG47	273
P63167	273
Q15654	273
Q6UY14	273
O60216	273
P07237	272
Q9UQL6	272
Q9H967	272
Q15554	272
P62829	272
Q15233	272
Q13509	272
P52815	272
P67809	271
P33778	271
Q99615	271
P08865	271
P39019	270
